ratio,average_triangular_op,triangular_op_sem,triangular_op_bootstrap_sem,triangular_op_std,triangular_op_bootstrap_std,average_villain_op,villain_op_sem,villain_op_bootstrap_sem,villain_op_std,villain_op_bootstrap_std,average_afm_op,afm_op_sem,afm_op_bootstrap_sem,afm_op_std,afm_op_bootstrap_std
-0.7,0.15354259850510887,0.0002695595406420841,0.00030651895424632745,0.08005464540267083,0.0021236256089500766,0.3212554399988192,0.000575409738332252,0.0006742851872238176,0.1708870049774837,0.0046715848122509795,0.16106859410430838,0.00042036414523638493,0.00042122262356263936,0.1248410740971629,0.002918315941231803
-0.8,0.1811680985965745,0.00033738723177940207,0.0002980777698767871,0.10019832775776734,0.002065143368133676,0.5651978745718612,0.0010121369079644207,0.0011469745565180732,0.30058762184059545,0.007946472827512334,0.10894479087931469,0.0002910751554090836,0.00029006270379957044,0.08644442076246646,0.002009613361446632
-0.9,0.2045137848998122,0.00034972105360079995,0.00034570665393594493,0.10386126519273928,0.0023951259565267516,0.7815607029125614,0.0006218603147237041,0.0008523718317585962,0.18468204414734501,0.005905405278185758,0.07126448727639204,0.0001857302520365673,0.00017527142973239535,0.05515875799431738,0.0012143160856469884
-1.0,0.19082222000412125,0.0003287327330531544,0.0003337647657878149,0.09762808733883313,0.0023123901284832875,0.7951781141833019,0.0005322358984282058,0.0006532720881458936,0.15806510137890448,0.004526001791341208,0.05719230284706475,0.00014615567728415053,0.00013529504966745267,0.043405775550365254,0.0009373516001463311
-1.1,0.17358486553911484,0.0003194366479726197,0.0003315373640025662,0.0948673065740989,0.0022969582362396064,0.7971803649100494,0.000585150897953183,0.0007577354060331681,0.1737799653876659,0.0052497448877731195,0.046228898966994204,0.00011860559892989226,0.00011953795783138868,0.03522386609832928,0.0008281832655879647
-1.2,0.16875731958565549,0.00039732617843129126,0.0006801726023044899,0.11799918581160192,0.004712374020430866,0.8000816723496609,0.0006877510194513852,0.0010540764971879234,0.2042504741489024,0.007302856192774864,0.03754661123708743,9.744821658071391e-05,0.00012184386122029867,0.02894047973560683,0.0008441590328957141
-1.3,0.18623010308523297,0.0005697889879603156,0.0008439647671698981,0.16921773674512772,0.005847159426145206,0.7899394096738095,0.0008348169004763923,0.001268943835851934,0.24792656488657244,0.008791500782587563,0.030383125472411187,8.031829280611063e-05,7.075009235934992e-05,0.023853180765278516,0.0004901710184263387
-1.4,0.24904371335103276,0.0008012205188212212,0.000907248046310959,0.2379490051466683,0.006285598845112731,0.725342558324793,0.0010270300235299236,0.0018043935597854863,0.30501062643059207,0.012501205289594131,0.025031809019904257,6.890522127319592e-05,6.351135413487745e-05,0.020463690664700124,0.00044001956887642973
-1.5,0.34045601102338313,0.0009607135871383243,0.0011600605075230426,0.2853157612922538,0.008037134955536191,0.6311367083294712,0.0011514724535457617,0.0015425926895312485,0.34196793309551254,0.01068739565460978,0.019967718568909044,5.859104449114816e-05,5.8914546708566797e-05,0.01740055380469323,0.00040817195281650986
-1.6,0.43970599971405333,0.0010142402483974617,0.0012425721832370709,0.30121227853843335,0.008608792613753566,0.5253463390175694,0.0011688586728029345,0.0014336812331819677,0.34713134750930297,0.009932834950916684,0.015781368102796674,4.99867659577759e-05,5.268412465081649e-05,0.01484522793756126,0.00036500632259002443
